tarih,hisse,skor,durum,giris,stop,hedef,ufuk,sonuc_tarih,cikis,sonuc,tuttu
2026-07-01,TTKOM,83,GIRIS_AKTIF,60.7396,59.2679,63.55,10,,,,
2026-07-01,TTRAK,43,BEKLE,436.3929,430.3571,453.5,10,,,,
2026-07-01,TUKAS,68,BEKLE,2.2462,2.2193,2.42,10,,,,
2026-07-01,TUPRS,68,BEKLE,235.1264,230.6786,250.25,10,,,,
2026-07-01,ULKER,29,BEKLE,96.7868,94.7503,111.2672,10,,,,
2026-07-01,VAKBN,74,KAR_ALMA,31.7579,30.9871,33.88,10,,,,
2026-07-01,VESBE,43,BEKLE,6.2675,5.975,6.95,10,,,,
2026-07-01,VESTL,20,RISK_FILTRE,25.8514,24.5886,26.94,10,,,,
2026-07-01,YKBNK,40,BEKLE,37.7689,36.5171,43.84,10,,,,
2026-07-01,ZOREN,77,GIRIS_AKTIF,2.7634,2.6621,2.96,10,,,,
2026-07-01,ALBRK,77,KAR_ALMA,7.9722,7.7642,8.28,10,,,,
2026-07-01,ANSGR,88,BEKLE,27.1837,26.7343,28.5,10,,,,
2026-07-01,ARDYZ,49,KAR_ALMA,55.1829,53.3071,62.05,10,,,,
2026-07-01,BFREN,52,BEKLE,135.9979,134.7071,140.2,10,,,,
2026-07-01,CANTE,29,BEKLE,1.3084,1.2843,1.5,10,,,,
2026-07-01,CWENE,81,BEKLE,36.0721,34.8929,39.62,10,,,,
2026-07-01,DAPGM,51,BEKLE,9.5489,9.3371,10.71,10,,,,
2026-07-01,ENERY,35,BEKLE,8.9215,8.525,11.96,10,,,,
2026-07-01,FENER,29,BEKLE,2.7709,2.7236,3.21,10,,,,
2026-07-01,GENIL,48,RISK_FILTRE,9.1687,8.7843,9.36,10,,,,
2026-07-01,GLYHO,33,BEKLE,15.1709,14.6471,18.69,10,,,,
2026-07-01,KMPUR,33,BEKLE,15.8024,15.3586,19.38,10,,,,
2026-07-01,MPARK,57,GIRIS_AKTIF,428.6071,418.3929,454.25,10,,,,
2026-07-01,PAPIL,53,BEKLE,15.0876,14.6214,16.15,10,,,,
2026-07-01,REEDR,59,BEKLE,6.2141,6.0107,7.75,10,,,,
2026-07-01,TABGD,32,BEKLE,219.3836,213.6357,260.7377,10,,,,
2026-07-01,TSKB,45,KAR_ALMA,11.6701,11.3664,12.29,10,,,,
2026-07-01,TUREX,38,BEKLE,7.0655,6.955,8.14,10,,,,
2026-07-01,YEOTK,68,BEKLE,53.0586,49.1214,115.0,10,,,,
2026-07-01,YYLGD,43,BEKLE,10.8132,10.6693,11.53,10,,,,
2026-07-01,ZRGYO,48,BEKLE,17.4447,17.1202,21.8664,10,,,,
2026-07-02,AEFES,90,KAR_ALMA,20.0521,19.6529,20.66,10,,,,
2026-07-02,AGHOL,56,KAR_ALMA,32.4874,31.8486,34.34,10,,,,
2026-07-02,AKBNK,53,BEKLE,71.0004,69.4821,82.0,10,,,,
2026-07-02,AKCNS,32,KAR_ALMA,206.8593,197.9357,217.9,10,,,,
2026-07-02,AKFGY,73,BEKLE,2.7616,2.7114,2.83,10,,,,
2026-07-02,AKSA,56,BEKLE,11.5949,11.1836,12.54,10,,,,
2026-07-02,AKSEN,56,RISK_FILTRE,81.7096,79.7179,82.8,10,,,,
2026-07-02,ALARK,58,BEKLE,100.645,97.85,109.4,10,,,,
2026-07-02,ALFAS,34,BEKLE,37.0347,35.5843,55.35,10,,,,
2026-07-02,ARCLK,38,BEKLE,97.4611,95.7107,106.1,10,,,,
2026-07-02,ASELS,69,GIRIS_AKTIF,383.6143,369.0357,407.75,10,,,,
2026-07-02,ASTOR,47,BEKLE,268.6339,255.0536,311.5,10,,,,
2026-07-02,BERA,72,BEKLE,15.5154,15.1021,17.07,10,,,,
2026-07-02,BIMAS,74,BEKLE,342.6324,335.4465,380.5181,10,,,,
2026-07-02,BRSAN,66,BEKLE,550.7607,534.4643,568.5,10,,,,
2026-07-02,BRYAT,39,BEKLE,1828.8071,1798.0714,2029.0,10,,,,
2026-07-02,BUCIM,36,BEKLE,5.6062,5.5421,6.05,10,,,,
2026-07-02,CCOLA,55,BEKLE,80.3618,79.0107,84.9,10,,,,
2026-07-02,CIMSA,74,BEKLE,45.9711,45.0314,51.4,10,,,,
2026-07-02,DOAS,55,KAR_ALMA,183.91,180.4,184.8,10,,,,
2026-07-02,DOHOL,81,BEKLE,19.5697,19.0943,21.18,10,,,,
2026-07-02,ECILC,70,GIRIS_AKTIF,77.1707,74.9143,85.15,10,,,,
2026-07-02,EGEEN,34,ANORMAL,5453.2679,5341.6071,5702.5,10,,,,
2026-07-02,EKGYO,81,KAR_ALMA,21.0845,20.545,22.24,10,,,,
2026-07-02,ENJSA,37,BEKLE,100.3314,98.2143,110.6,10,,,,
2026-07-02,ENKAI,38,BEKLE,89.7489,87.8036,96.15,10,,,,
2026-07-02,EREGL,85,KAR_ALMA,39.3437,38.6343,41.0,10,,,,
2026-07-02,EUPWR,66,ANORMAL,75.9296,70.1679,84.55,10,,,,
2026-07-02,FROTO,59,BEKLE,82.7379,81.0571,87.6,10,,,,
2026-07-02,GARAN,45,KAR_ALMA,137.4136,135.6214,140.4,10,,,,
2026-07-02,GESAN,69,BEKLE,72.0104,67.6321,75.5,10,,,,
2026-07-02,GUBRF,64,BEKLE,433.5179,411.9286,491.25,10,,,,
2026-07-02,HALKB,65,BEKLE,39.7521,38.3129,47.84,10,,,,
2026-07-02,HEKTS,36,BEKLE,2.8328,2.6907,3.48,10,,,,
2026-07-02,ISCTR,48,BEKLE,14.6415,14.375,15.11,10,,,,
2026-07-02,ISGYO,36,BEKLE,20.712,19.62,26.54,10,,,,
2026-07-02,ISMEN,50,BEKLE,35.848,35.38,37.92,10,,,,
2026-07-02,IZMDC,40,BEKLE,7.8926,7.5779,9.4743,10,,,,
2026-07-02,KAYSE,56,GIRIS_AKTIF,4.379,4.34,4.57,10,,,,
2026-07-02,KCHOL,32,KAR_ALMA,192.6071,188.2429,195.8,10,,,,
2026-07-02,KONTR,42,ANORMAL,2.6041,2.1714,6.83,10,,,,
2026-07-02,KONYA,36,BEKLE,3831.4643,3716.7857,4330.0,10,,,,
2026-07-02,KORDS,40,BEKLE,63.9761,61.0464,78.5,10,,,,
2026-07-02,KRDMD,88,BEKLE,38.314,37.3,41.02,10,,,,
2026-07-02,MAVI,65,BEKLE,38.0024,37.2243,42.04,10,,,,
2026-07-02,MGROS,38,ANORMAL,621.3429,606.8571,673.0,10,,,,
2026-07-02,MIATK,63,BEKLE,34.0281,32.5814,41.12,10,,,,
2026-07-02,ODAS,74,BEKLE,7.1455,6.775,9.53,10,,,,
2026-07-02,OTKAR,27,KAR_ALMA,373.2554,366.7321,379.25,10,,,,
2026-07-02,OYAKC,36,KAR_ALMA,20.7309,20.3371,21.02,10,,,,
2026-07-02,PETKM,38,BEKLE,18.4386,18.1164,20.42,10,,,,
2026-07-02,PGSUS,26,KAR_ALMA,175.8486,172.1714,179.4,10,,,,
2026-07-02,PSGYO,51,KAR_ALMA,3.2879,3.1236,3.41,10,,,,
2026-07-02,QUAGR,69,BEKLE,3.7942,3.6893,4.03,10,,,,
